timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688774226905,1104,HTTP Request,200,OK,Thread Group 2-1,text,true,,1225,322,1,1,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,332,0,244
1688774226905,338,HTTP Request-0,301,Moved Permanently,Thread Group 2-1,text,true,,430,161,1,1,http://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,332,0,244
1688774227253,756,HTTP Request-1,200,OK,Thread Group 2-1,text,true,,795,161,1,1,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,756,0,632
1688774232760,471,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-25,text,true,,1225,322,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,203,0,125
1688774232760,203,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-25,text,true,,430,161,5,5,http://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,203,0,125
1688774232965,266,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-25,text,true,,795,161,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,266,0,184
1688774232751,484,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,1225,322,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,219,0,134
1688774232751,219,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-10,text,true,,430,161,5,5,http://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,219,0,134
1688774232972,263,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,795,161,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,263,0,181
1688774232751,501,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1225,322,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,222,0,135
1688774232751,222,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-5,text,true,,430,161,5,5,http://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,222,0,135
1688774232974,278,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,795,161,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,278,0,194
1688774232756,501,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-15,text,true,,1225,322,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,214,0,130
1688774232756,215,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-15,text,true,,430,161,5,5,http://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,214,0,130
1688774232971,286,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-15,text,true,,795,161,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,286,0,200
1688774232758,504,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-20,text,true,,1225,322,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,212,0,127
1688774232758,212,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-20,text,true,,430,161,5,5,http://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,212,0,127
1688774232971,291,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-20,text,true,,795,161,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,291,0,203
1688774233267,4,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-15,text,true,,318,0,5,5,null,0,0,0
1688774233267,4,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,318,0,5,5,null,0,0,0
1688774233267,4,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-25,text,true,,319,0,5,5,null,0,0,0
1688774233267,4,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-20,text,true,,319,0,5,5,null,0,0,0
1688774233267,4,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,319,0,5,5,null,0,0,0
1688774233275,455,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-15,text,true,,1225,322,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,203,0,86
1688774233275,203,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-15,text,true,,430,161,5,5,http://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,203,0,86
1688774233479,251,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-15,text,true,,795,161,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,251,0,174
1688774233731,0,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-15,text,true,,318,0,5,5,null,0,0,0
1688774233275,469,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-20,text,true,,1225,322,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,203,0,81
1688774233275,203,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-20,text,true,,430,161,5,5,http://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,203,0,81
1688774233479,265,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-20,text,true,,795,161,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,265,0,180
1688774233745,0,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-20,text,true,,319,0,5,5,null,0,0,0
1688774233275,477,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1225,322,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,203,0,81
1688774233275,203,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-5,text,true,,430,161,5,5,http://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,203,0,81
1688774233479,273,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,795,161,5,5,https://bookstore.toolsqa.com/BookStore/v1/Book?ISBN=9781449325862,273,0,180
1688774233753,0,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,318,0,5,5,null,0,0,0
